ingredient,count
Salt,4189
Onion,2404
Turmeric Powder,2235
Green Chilli,1975
Garlic,1947
Red Chilli Powder,1678
Sunflower Oil,1601
Ginger,1559
Coriander,1491
Cumin Seeds,1483
Tomato,1211
Mustard Seeds,1072
Sugar,1047
Curry Leaves,1031
Dry Red Chilli,894
Asafoetida,879
Coriander Powder,877
Water,853
Garam Masala Powder,837
Black Pepper Powder,776
Cumin Powder,744
Lemon Juice,741
Ghee,723
Butter,625
Extra Virgin Olive Oil,606
Fresh Coconut,605
Milk,563
Curd,540
Cinnamon Stick,516
Cardamom,474
Whole Black Peppercorns,460
Cloves,444
White Urad Dal,434
Jaggery,419
Potato,406
Bay Leaf,363
Carrot,337
Fennel Seeds,336
Mint Leaves,324
Ginger Garlic Paste,312
Green Bell Pepper,307
Cardamom Powder,291
Cashew Nuts,285
Methi Seeds,274
All Purpose Flour,272
Baking Powder,270
Gram Flour,267
Red Chilli Flakes,261
Vanilla Extract,258
Honey,256
Chana Dal,256
Green Peas,242
Oil,236
Whole Eggs,232
Ajwain,231
Fresh Cream,216
Dried Oregano,215
Mustard Oil,211
Red Bell Pepper,211
Soy Sauce,205
Amchur,203
Whole Wheat Flour,201
Chaat Masala Powder,201
Badam,200
Sesame Seeds,198
Corn Flour,194
Coconut Milk,191
Homemade Tomato Puree,184
Cinnamon Powder,182
Carrots,181
Tamarind,171
Kashmiri Red Chilli Powder,170
Green Beans,165
Baking Soda,158
Caster Sugar,155
Paneer,153
Sesame,149
Saffron Strands,148
Lemon,146
Raisins,145
,144
Rice Flour,141
Coconut Oil,139
Basil Leaves,139
Kasuri Methi,138
Poppy Seeds,138
Hung Curd,137
Sweet Corn,136
Brown Sugar,136
Button Mushrooms,134
Whole Egg,126
Bay Leaves,125
Tamarind Paste,122
Salt And Pepper,122
Parsley Leaves,118
Mustard,117
Tamarind Water,115
Red Chilli Sauce,112
Roasted Peanuts,110
Raw Peanuts,108
Spinach,106
Cabbage,104
Pistachios,103
Arhar Dal,102
Mozzarella Cheese,102
Cucumber,99
Black Cardamom,99
Paprika Powder,99
Cocoa Powder,97
Spinach Leaves,95
Sooji,95
Walnuts,94
Sambar Powder,93
Active Dry Yeast,93
Spring Onion Greens,91
Broccoli,91
Spring Onion,91
Whole Wheat Bread Crumbs,90
Instant Oats,90
Star Anise,89
Vinegar,87
Methi Leaves,86
Yellow Moong Dal,85
Rice,81
Pearl Onion,81
Yellow Bell Pepper,80
Red Chili Powder,77
Dry Ginger Powder,75
Vegetable Stock,75
Nutmeg Powder,75
Cheese,73
Mango,73
Green Coriander,72
Coconut,70
Kalonji,70
Lukewarm Water,68
Parmesan Cheese,67
Ripe Bananas,67
Rye,66
Tomato Ketchup,65
Black Salt,65
Dessicated Coconut,65
Mixed Herbs,64
Cauliflower,62
Shallots,61
Green Chili,61
Tofu,60
Dates,59
Salt Whole Wheat Flour,58
Dried Thyme Leaves,58
Cheddar Cheese,57
Clove Garlic,57
Condensed Milk,57
Rosemary,55
Black Urad Dal,54
Cumin,54
Green Chutney,53
Green Zucchini,52
Cinnamon,51
Capsicum,51
Fresh Red Chilli,50
Chicken Breasts,49
Celery,49
Lemon Zest,49
Dark Chocolate,47
Enos Fruit Salt,47
Heavy Whipping Cream,47
Black Olives,46
Dry Coconut,45
Fennel Powder,45
Fresh Orange Juice,45
Mace,44
Salt All Purpose Flour,44
Pickled Jalapenos,43
Kaddu,42
Brinjal,42
Panch Phoran Masala,41
Icing Sugar,41
Chilled Water,41
Coriander Seeds,40
Britannia Cream Cheese,40
Rose Water,40
Feta Cheese,40
Peanuts,39
Buttermilk,39
Strawberries,39
Apple,39
Sweet Chutney,38
Pineapple,38
Masoor Dal,38
Fenugreek Seeds,38
Sweet Potato,38
Beetroot,37
Anardana Powder,37
Cherry Tomato,37
Garlic Powder,36
Dill Leaves,36
Rajma,36
Peanut Butter,36
Baby Corn,35
Fresh Thyme Leaves,35
Italian Seasoning,34
Kabuli Chana,34
Orange Zest,34
Salt Potato,33
Basmati Rice,33
Kokum,33
Iceberg Lettuce,33
Roasted Gram Dal,32
Ssp Asafoetida,32
Avocado,32
Khoya,31
Chocolate Chips,31
Whole Wheat Brown Bread,31
Red Onion,31
Asafetida,30
Sunflower Oil All Purpose Flour,30
Drumstick,30
Green Moong Dal,30
Mooli Mullangi,29
Tomato Puree,29
Mixed Vegetables,29
Green Moong Sprouts,28
Classic Mayonnaise,28
Milk Powder,28
Salt Rice,28
Flax Seed Powder,28
Chicken,28
Hot Water,28
Nutmeg,28
Tabasco Original,27
Fresh Pomegranate Fruit Kernels,27
Almond Meal,27
Bottle Gourd,27
Whole Black Pepper Corns,27
Cranberries,27
Fennel,26
Whole Pepper,26
Kala Chana,26
Sunflower Oil Whole Wheat Flour,26
Lentil Sugar,26
Sunflower Oil Cook,26
Cooking Soda,26
Flour,26
Chia Seeds,26
Green Chilli Sauce,25
